crawler date,address,postal_code,url,bedrooms,bathrooms,area,latitude,longitude,price
2019-07-26,"7226 Clarendon St, San Jose ,CA ",95129,https://www.zillow.com/homedetails/7226-Clarendon-St-San-Jose-CA-95129/19641492_zpid/,3,3,1448,37.307791,-122.031146,1448888
2019-07-26,"3458 Bathgate Ln, San Jose ,CA ",95121,https://www.zillow.com/homedetails/3458-Bathgate-Ln-San-Jose-CA-95121/19806900_zpid/,3,2,1131,37.307838,-121.799584,649900
2019-07-26,"5343 Ligurian Dr, San Jose ,CA ",95138,https://www.zillow.com/homedetails/5343-Ligurian-Dr-San-Jose-CA-95138/19812387_zpid/,4,3,3112,37.283466,-121.766548,1998000
2019-07-26,"2881 Meridian Ave UNIT 149, San Jose ,CA ",95124,https://www.zillow.com/homedetails/2881-Meridian-Ave-UNIT-149-San-Jose-CA-95124/89475601_zpid/,2,2,1383,37.27222,-121.907128,800000
2019-07-26,"1515 Treviso Ave, San Jose ,CA ",95118,https://www.zillow.com/homedetails/1515-Treviso-Ave-San-Jose-CA-95118/19756773_zpid/,3,3,1756,37.238708,-121.893699,1399000
2019-07-26,"3111 White Riesling Pl, San Jose ,CA ",95135,https://www.zillow.com/homedetails/3111-White-Riesling-Pl-San-Jose-CA-95135/54772202_zpid/,3,3,1398,37.314586,-121.778185,960000
2019-07-26,"1630 Hyacinth Ln, San Jose ,CA ",95124,https://www.zillow.com/homedetails/1630-Hyacinth-Ln-San-Jose-CA-95124/19754536_zpid/,3,2,1769,37.229207,-121.905387,1495000
2019-07-26,"4757 Clydelle Ave APT 4, San Jose ,CA ",95124,https://www.zillow.com/homedetails/4757-Clydelle-Ave-APT-4-San-Jose-CA-95124/19678031_zpid/,2,1,798,37.251689,-121.940707,589000
2019-07-26,"6343 Nepo Dr, San Jose ,CA ",95119,https://www.zillow.com/homedetails/6343-Nepo-Dr-San-Jose-CA-95119/19837937_zpid/,3,2,1694,37.22982,-121.801437,899000
2019-07-26,"4781 Whitetail Ln, San Jose ,CA ",95138,https://www.zillow.com/homedetails/4781-Whitetail-Ln-San-Jose-CA-95138/51075440_zpid/,5,4,4061,37.292672,-121.784046,2895000
2019-07-26,"292 Shadow Run Dr, San Jose ,CA ",95110,https://www.zillow.com/homedetails/292-Shadow-Run-Dr-San-Jose-CA-95110/19684906_zpid/,2,2,871,37.31129,-121.879183,640000
2019-07-26,"5104 Westmont Ave UNIT 2, San Jose ,CA ",95130,https://www.zillow.com/homedetails/5104-Westmont-Ave-UNIT-2-San-Jose-CA-95130/19661951_zpid/,2,3,1105,37.271335,-121.992518,798000
2019-07-26,"5064 Willow Est, San Jose ,CA ",95135,https://www.zillow.com/homedetails/5064-Willow-Est-San-Jose-CA-95135/19795871_zpid/,4,3,1876,37.296713,-121.765723,1298000
2019-07-26,"1871 Mcdaniel Ave, San Jose ,CA ",95126,https://www.zillow.com/homedetails/1871-Mcdaniel-Ave-San-Jose-CA-95126/19582808_zpid/,5,3,2935,37.329899,-121.931495,2249950
2019-07-26,"1780 Cathay Dr, San Jose ,CA ",95122,https://www.zillow.com/homedetails/1780-Cathay-Dr-San-Jose-CA-95122/19727045_zpid/,3,2,1040,37.33505,-121.829995,619000
2019-07-26,"1419 Antonio Ln, San Jose ,CA ",95117,https://www.zillow.com/homedetails/1419-Antonio-Ln-San-Jose-CA-95117/19608972_zpid/,4,2,1490,37.298479,-121.957979,1200000
2019-07-26,"1551 Hearthstone Dr, San Jose ,CA ",95122,https://www.zillow.com/homedetails/1551-Hearthstone-Dr-San-Jose-CA-95122/19716113_zpid/,4,3,1586,37.32406,-121.852717,799000
2019-07-26,"781 Melannie Ct, San Jose ,CA ",95116,https://www.zillow.com/homedetails/781-Melannie-Ct-San-Jose-CA-95116/19712487_zpid/,4,2,1354,37.336926,-121.859335,699988
2019-07-26,"2792 Clara Smith Pl, San Jose ,CA ",95135,https://www.zillow.com/homedetails/2792-Clara-Smith-Pl-San-Jose-CA-95135/64753640_zpid/,6,5,4349,37.295339,-121.769047,2200000
2019-07-26,"900 Golden Wheel # 118, San Jose ,CA ",95112,https://www.zillow.com/homedetails/900-Golden-Wheel-118-San-Jose-CA-95112/2083383192_zpid/,2,1,550,37.3469,-121.8872,199999
2019-07-26,"1898 Meridian Ave UNIT 12, San Jose ,CA ",95125,https://www.zillow.com/homedetails/1898-Meridian-Ave-UNIT-12-San-Jose-CA-95125/19682816_zpid/,3,2,1312,37.289125,-121.912972,798800
2019-07-26,"5770 Winfield Blvd SPC 9, San Jose ,CA ",95123,https://www.zillow.com/homedetails/5770-Winfield-Blvd-SPC-9-San-Jose-CA-95123/2083383442_zpid/,3,2,1800,37.247705,-121.866011,379900
2019-07-26,"411 Lewis Rd SPC 438, San Jose ,CA ",95111,https://www.zillow.com/homedetails/411-Lewis-Rd-SPC-438-San-Jose-CA-95111/2083383882_zpid/,2,2,1272,37.296332,-121.84272,199900
2019-07-26,"295 Tradewinds Dr APT 106, San Jose ,CA ",95123,https://www.zillow.com/homedetails/295-Tradewinds-Dr-APT-106-San-Jose-CA-95123/59683961_zpid/,3,2,1449,37.256347,-121.827551,668888
2019-07-26,"2373 Richland Ave, San Jose ,CA ",95125,https://www.zillow.com/homedetails/2373-Richland-Ave-San-Jose-CA-95125/19687286_zpid/,6,5,3952,37.286407,-121.8897,2749000
2019-07-26,"7226 Clarendon St, San Jose ,CA ",95129,https://www.zillow.com/homedetails/7226-Clarendon-St-San-Jose-CA-95129/19641492_zpid/,3,3,1448,37.307791,-122.031146,1448888
2019-07-26,"3458 Bathgate Ln, San Jose ,CA ",95121,https://www.zillow.com/homedetails/3458-Bathgate-Ln-San-Jose-CA-95121/19806900_zpid/,3,2,1131,37.307838,-121.799584,649900
2019-07-26,"5343 Ligurian Dr, San Jose ,CA ",95138,https://www.zillow.com/homedetails/5343-Ligurian-Dr-San-Jose-CA-95138/19812387_zpid/,4,3,3112,37.283466,-121.766548,1998000
2019-07-26,"2881 Meridian Ave UNIT 149, San Jose ,CA ",95124,https://www.zillow.com/homedetails/2881-Meridian-Ave-UNIT-149-San-Jose-CA-95124/89475601_zpid/,2,2,1383,37.27222,-121.907128,800000
2019-07-26,"1515 Treviso Ave, San Jose ,CA ",95118,https://www.zillow.com/homedetails/1515-Treviso-Ave-San-Jose-CA-95118/19756773_zpid/,3,3,1756,37.238708,-121.893699,1399000
2019-07-26,"3111 White Riesling Pl, San Jose ,CA ",95135,https://www.zillow.com/homedetails/3111-White-Riesling-Pl-San-Jose-CA-95135/54772202_zpid/,3,3,1398,37.314586,-121.778185,960000
2019-07-26,"1630 Hyacinth Ln, San Jose ,CA ",95124,https://www.zillow.com/homedetails/1630-Hyacinth-Ln-San-Jose-CA-95124/19754536_zpid/,3,2,1769,37.229207,-121.905387,1495000
2019-07-26,"4757 Clydelle Ave APT 4, San Jose ,CA ",95124,https://www.zillow.com/homedetails/4757-Clydelle-Ave-APT-4-San-Jose-CA-95124/19678031_zpid/,2,1,798,37.251689,-121.940707,589000
2019-07-26,"6343 Nepo Dr, San Jose ,CA ",95119,https://www.zillow.com/homedetails/6343-Nepo-Dr-San-Jose-CA-95119/19837937_zpid/,3,2,1694,37.22982,-121.801437,899000
2019-07-26,"4781 Whitetail Ln, San Jose ,CA ",95138,https://www.zillow.com/homedetails/4781-Whitetail-Ln-San-Jose-CA-95138/51075440_zpid/,5,4,4061,37.292672,-121.784046,2895000
2019-07-26,"292 Shadow Run Dr, San Jose ,CA ",95110,https://www.zillow.com/homedetails/292-Shadow-Run-Dr-San-Jose-CA-95110/19684906_zpid/,2,2,871,37.31129,-121.879183,640000
2019-07-26,"5104 Westmont Ave UNIT 2, San Jose ,CA ",95130,https://www.zillow.com/homedetails/5104-Westmont-Ave-UNIT-2-San-Jose-CA-95130/19661951_zpid/,2,3,1105,37.271335,-121.992518,798000
2019-07-26,"5064 Willow Est, San Jose ,CA ",95135,https://www.zillow.com/homedetails/5064-Willow-Est-San-Jose-CA-95135/19795871_zpid/,4,3,1876,37.296713,-121.765723,1298000
2019-07-26,"1871 Mcdaniel Ave, San Jose ,CA ",95126,https://www.zillow.com/homedetails/1871-Mcdaniel-Ave-San-Jose-CA-95126/19582808_zpid/,5,3,2935,37.329899,-121.931495,2249950
2019-07-26,"1780 Cathay Dr, San Jose ,CA ",95122,https://www.zillow.com/homedetails/1780-Cathay-Dr-San-Jose-CA-95122/19727045_zpid/,3,2,1040,37.33505,-121.829995,619000
2019-07-26,"1419 Antonio Ln, San Jose ,CA ",95117,https://www.zillow.com/homedetails/1419-Antonio-Ln-San-Jose-CA-95117/19608972_zpid/,4,2,1490,37.298479,-121.957979,1200000
2019-07-26,"1551 Hearthstone Dr, San Jose ,CA ",95122,https://www.zillow.com/homedetails/1551-Hearthstone-Dr-San-Jose-CA-95122/19716113_zpid/,4,3,1586,37.32406,-121.852717,799000
2019-07-26,"781 Melannie Ct, San Jose ,CA ",95116,https://www.zillow.com/homedetails/781-Melannie-Ct-San-Jose-CA-95116/19712487_zpid/,4,2,1354,37.336926,-121.859335,699988
2019-07-26,"2792 Clara Smith Pl, San Jose ,CA ",95135,https://www.zillow.com/homedetails/2792-Clara-Smith-Pl-San-Jose-CA-95135/64753640_zpid/,6,5,4349,37.295339,-121.769047,2200000
2019-07-26,"900 Golden Wheel # 118, San Jose ,CA ",95112,https://www.zillow.com/homedetails/900-Golden-Wheel-118-San-Jose-CA-95112/2083383192_zpid/,2,1,550,37.3469,-121.8872,199999
2019-07-26,"1898 Meridian Ave UNIT 12, San Jose ,CA ",95125,https://www.zillow.com/homedetails/1898-Meridian-Ave-UNIT-12-San-Jose-CA-95125/19682816_zpid/,3,2,1312,37.289125,-121.912972,798800
2019-07-26,"5770 Winfield Blvd SPC 9, San Jose ,CA ",95123,https://www.zillow.com/homedetails/5770-Winfield-Blvd-SPC-9-San-Jose-CA-95123/2083383442_zpid/,3,2,1800,37.247705,-121.866011,379900
2019-07-26,"411 Lewis Rd SPC 438, San Jose ,CA ",95111,https://www.zillow.com/homedetails/411-Lewis-Rd-SPC-438-San-Jose-CA-95111/2083383882_zpid/,2,2,1272,37.296332,-121.84272,199900
2019-07-26,"295 Tradewinds Dr APT 106, San Jose ,CA ",95123,https://www.zillow.com/homedetails/295-Tradewinds-Dr-APT-106-San-Jose-CA-95123/59683961_zpid/,3,2,1449,37.256347,-121.827551,668888
2019-07-26,"2373 Richland Ave, San Jose ,CA ",95125,https://www.zillow.com/homedetails/2373-Richland-Ave-San-Jose-CA-95125/19687286_zpid/,6,5,3952,37.286407,-121.8897,2749000
2019-07-26,"7226 Clarendon St, San Jose ,CA ",95129,https://www.zillow.com/homedetails/7226-Clarendon-St-San-Jose-CA-95129/19641492_zpid/,3,3,1448,37.307791,-122.031146,1448888
2019-07-26,"3458 Bathgate Ln, San Jose ,CA ",95121,https://www.zillow.com/homedetails/3458-Bathgate-Ln-San-Jose-CA-95121/19806900_zpid/,3,2,1131,37.307838,-121.799584,649900
2019-07-26,"5343 Ligurian Dr, San Jose ,CA ",95138,https://www.zillow.com/homedetails/5343-Ligurian-Dr-San-Jose-CA-95138/19812387_zpid/,4,3,3112,37.283466,-121.766548,1998000
2019-07-26,"2881 Meridian Ave UNIT 149, San Jose ,CA ",95124,https://www.zillow.com/homedetails/2881-Meridian-Ave-UNIT-149-San-Jose-CA-95124/89475601_zpid/,2,2,1383,37.27222,-121.907128,800000
2019-07-26,"1515 Treviso Ave, San Jose ,CA ",95118,https://www.zillow.com/homedetails/1515-Treviso-Ave-San-Jose-CA-95118/19756773_zpid/,3,3,1756,37.238708,-121.893699,1399000
2019-07-26,"3111 White Riesling Pl, San Jose ,CA ",95135,https://www.zillow.com/homedetails/3111-White-Riesling-Pl-San-Jose-CA-95135/54772202_zpid/,3,3,1398,37.314586,-121.778185,960000
2019-07-26,"1630 Hyacinth Ln, San Jose ,CA ",95124,https://www.zillow.com/homedetails/1630-Hyacinth-Ln-San-Jose-CA-95124/19754536_zpid/,3,2,1769,37.229207,-121.905387,1495000
2019-07-26,"4757 Clydelle Ave APT 4, San Jose ,CA ",95124,https://www.zillow.com/homedetails/4757-Clydelle-Ave-APT-4-San-Jose-CA-95124/19678031_zpid/,2,1,798,37.251689,-121.940707,589000
2019-07-26,"4781 Whitetail Ln, San Jose ,CA ",95138,https://www.zillow.com/homedetails/4781-Whitetail-Ln-San-Jose-CA-95138/51075440_zpid/,5,4,4061,37.292672,-121.784046,2895000
2019-07-26,"292 Shadow Run Dr, San Jose ,CA ",95110,https://www.zillow.com/homedetails/292-Shadow-Run-Dr-San-Jose-CA-95110/19684906_zpid/,2,2,871,37.31129,-121.879183,640000
2019-07-26,"6343 Nepo Dr, San Jose ,CA ",95119,https://www.zillow.com/homedetails/6343-Nepo-Dr-San-Jose-CA-95119/19837937_zpid/,3,2,1694,37.22982,-121.801437,899000
2019-07-26,"5104 Westmont Ave UNIT 2, San Jose ,CA ",95130,https://www.zillow.com/homedetails/5104-Westmont-Ave-UNIT-2-San-Jose-CA-95130/19661951_zpid/,2,3,1105,37.271335,-121.992518,798000
2019-07-26,"5064 Willow Est, San Jose ,CA ",95135,https://www.zillow.com/homedetails/5064-Willow-Est-San-Jose-CA-95135/19795871_zpid/,4,3,1876,37.296713,-121.765723,1298000
2019-07-26,"1871 Mcdaniel Ave, San Jose ,CA ",95126,https://www.zillow.com/homedetails/1871-Mcdaniel-Ave-San-Jose-CA-95126/19582808_zpid/,5,3,2935,37.329899,-121.931495,2249950
2019-07-26,"1780 Cathay Dr, San Jose ,CA ",95122,https://www.zillow.com/homedetails/1780-Cathay-Dr-San-Jose-CA-95122/19727045_zpid/,3,2,1040,37.33505,-121.829995,619000
